Region,Year,Attribute,Value
Central America and Caribbean,2001,Infant_deaths,51.2
Central America and Caribbean,2001,Under_five_deaths,76.5
Central America and Caribbean,2001,Adult_mortality,218.9645
European Union,2000,Infant_deaths,8.2
European Union,2000,Under_five_deaths,9.8
European Union,2000,Adult_mortality,147.9935
Africa,2006,Infant_deaths,38.1
Africa,2006,Under_five_deaths,61.5
Africa,2006,Adult_mortality,468.51
European Union,2015,Infant_deaths,2.5
European Union,2015,Under_five_deaths,3.2
European Union,2015,Adult_mortality,82.5385
European Union,2014,Infant_deaths,3.5
European Union,2014,Under_five_deaths,4.1
European Union,2014,Adult_mortality,69.2705
Africa,2010,Infant_deaths,12.5
Africa,2010,Under_five_deaths,14.5
Africa,2010,Adult_mortality,151.4165
Africa,2015,Infant_deaths,63.2
Africa,2015,Under_five_deaths,97.6
Africa,2015,Adult_mortality,242.9535
Africa,2014,Infant_deaths,40.9
Africa,2014,Under_five_deaths,62.4
Africa,2014,Adult_mortality,264.471
Africa,2009,Infant_deaths,24.4
Africa,2009,Under_five_deaths,28.4
Africa,2009,Adult_mortality,106.1
European Union,2003,Infant_deaths,7
European Union,2003,Under_five_deaths,8.1
European Union,2003,Adult_mortality,141.427
Africa,2014,Infant_deaths,48.2
Africa,2014,Under_five_deaths,71.3
Africa,2014,Adult_mortality,298.257
Asia,2004,Infant_deaths,51.8
Asia,2004,Under_five_deaths,68.3
Asia,2004,Adult_mortality,156.4125
Central America and Caribbean,2002,Infant_deaths,14.2
Central America and Caribbean,2002,Under_five_deaths,15.5
Central America and Caribbean,2002,Adult_mortality,122.8625
European Union,2001,Infant_deaths,4.3
European Union,2001,Under_five_deaths,5.3
European Union,2001,Adult_mortality,81.959
Asia,2010,Infant_deaths,25.4
Asia,2010,Under_five_deaths,28.7
Asia,2010,Adult_mortality,157.8785
Asia,2014,Infant_deaths,36.3
Asia,2014,Under_five_deaths,42
Asia,2014,Adult_mortality,191.3055
Africa,2008,Infant_deaths,102.5
Africa,2008,Under_five_deaths,152.8
Africa,2008,Adult_mortality,494.9685
Central America and Caribbean,2004,Infant_deaths,6.1
Central America and Caribbean,2004,Under_five_deaths,7.6
Central America and Caribbean,2004,Adult_mortality,103.8635
Africa,2013,Infant_deaths,53.7
Africa,2013,Under_five_deaths,80.9
Africa,2013,Adult_mortality,278.601
Central America and Caribbean,2015,Infant_deaths,15.2
Central America and Caribbean,2015,Under_five_deaths,16.7
Central America and Caribbean,2015,Adult_mortality,154.8235
Rest of Europe,2008,Infant_deaths,7
Rest of Europe,2008,Under_five_deaths,8.1
Rest of Europe,2008,Adult_mortality,122.2765
Asia,2002,Infant_deaths,7.6
Asia,2002,Under_five_deaths,8.9
Asia,2002,Adult_mortality,130.4885
Asia,2005,Infant_deaths,12.2
Asia,2005,Under_five_deaths,14.2
Asia,2005,Adult_mortality,132.3135
Asia,2013,Infant_deaths,20
Asia,2013,Under_five_deaths,22.5
Asia,2013,Adult_mortality,145.432
European Union,2014,Infant_deaths,3.7
European Union,2014,Under_five_deaths,4.3
European Union,2014,Adult_mortality,71.3785
Rest of Europe,2008,Infant_deaths,6.9
Rest of Europe,2008,Under_five_deaths,8
Rest of Europe,2008,Adult_mortality,134.1205
Africa,2014,Infant_deaths,56.2
Africa,2014,Under_five_deaths,85.1
Africa,2014,Adult_mortality,205.0555
South America,2002,Infant_deaths,50.4
South America,2002,Under_five_deaths,67.2
South America,2002,Adult_mortality,231.344
Africa,2011,Infant_deaths,40.6
Africa,2011,Under_five_deaths,58.6
Africa,2011,Adult_mortality,233.744
Middle East,2006,Infant_deaths,11.2
Middle East,2006,Under_five_deaths,13
Middle East,2006,Adult_mortality,77.1425
Middle East,2012,Infant_deaths,13.6
Middle East,2012,Under_five_deaths,15.8
Middle East,2012,Adult_mortality,111.4545
Central America and Caribbean,2013,Infant_deaths,14.2
Central America and Caribbean,2013,Under_five_deaths,16.5
Central America and Caribbean,2013,Adult_mortality,134.4545
Rest of Europe,2014,Infant_deaths,13.7
Rest of Europe,2014,Under_five_deaths,16
Rest of Europe,2014,Adult_mortality,172.978
European Union,2014,Infant_deaths,3.3
European Union,2014,Under_five_deaths,4.1
European Union,2014,Adult_mortality,72.379
Rest of Europe,2014,Infant_deaths,5.7
Rest of Europe,2014,Under_five_deaths,6.6
Rest of Europe,2014,Adult_mortality,116.691
Asia,2012,Infant_deaths,40.9
Asia,2012,Under_five_deaths,52
Asia,2012,Adult_mortality,185.272
Central America and Caribbean,2013,Infant_deaths,18
Central America and Caribbean,2013,Under_five_deaths,21.1
Central America and Caribbean,2013,Adult_mortality,152.7925
Asia,2011,Infant_deaths,2.3
Asia,2011,Under_five_deaths,3.2
Asia,2011,Adult_mortality,64.2585
Middle East,2012,Infant_deaths,6.8
Middle East,2012,Under_five_deaths,8
Middle East,2012,Adult_mortality,69.438
Africa,2003,Infant_deaths,13.8
Africa,2003,Under_five_deaths,16
Africa,2003,Adult_mortality,164.979
Africa,2005,Infant_deaths,71.2
Africa,2005,Under_five_deaths,88.7
Africa,2005,Adult_mortality,305.088
European Union,2001,Infant_deaths,7.6
European Union,2001,Under_five_deaths,8.8
European Union,2001,Adult_mortality,147.2585
European Union,2008,Infant_deaths,4
European Union,2008,Under_five_deaths,4.7
European Union,2008,Adult_mortality,67.9805
European Union,2003,Infant_deaths,3.2
European Union,2003,Under_five_deaths,3.9
European Union,2003,Adult_mortality,67.2
Middle East,2014,Infant_deaths,7.4
Middle East,2014,Under_five_deaths,8.6
Middle East,2014,Adult_mortality,61.5415
European Union,2012,Infant_deaths,2.3
European Union,2012,Under_five_deaths,2.8
European Union,2012,Adult_mortality,79.341
Rest of Europe,2004,Infant_deaths,7.3
Rest of Europe,2004,Under_five_deaths,9.4
Rest of Europe,2004,Adult_mortality,245.7875
European Union,2013,Infant_deaths,2.5
European Union,2013,Under_five_deaths,3.1
European Union,2013,Adult_mortality,88.7525
Asia,2009,Infant_deaths,36
Asia,2009,Under_five_deaths,44.9
Asia,2009,Adult_mortality,230.9395
Africa,2001,Infant_deaths,104.4
Africa,2001,Under_five_deaths,151.4
Africa,2001,Adult_mortality,332.218
Rest of Europe,2002,Infant_deaths,11.4
Rest of Europe,2002,Under_five_deaths,12.9
Rest of Europe,2002,Adult_mortality,138.1465
Rest of Europe,2011,Infant_deaths,10.8
Rest of Europe,2011,Under_five_deaths,12.1
Rest of Europe,2011,Adult_mortality,80.349
Middle East,2005,Infant_deaths,9.8
Middle East,2005,Under_five_deaths,11.4
Middle East,2005,Adult_mortality,81.8995
Africa,2001,Infant_deaths,59.8
Africa,2001,Under_five_deaths,108.7
Africa,2001,Adult_mortality,298.2375
Oceania,2015,Infant_deaths,44.7
Oceania,2015,Under_five_deaths,57.6
Oceania,2015,Adult_mortality,198.449
Africa,2012,Infant_deaths,53.4
Africa,2012,Under_five_deaths,80.3
Africa,2012,Adult_mortality,306.3965
Oceania,2006,Infant_deaths,28.5
Oceania,2006,Under_five_deaths,34.6
Oceania,2006,Adult_mortality,175.731
Africa,2007,Infant_deaths,90.6
Africa,2007,Under_five_deaths,147
Africa,2007,Adult_mortality,297.0245
Middle East,2008,Infant_deaths,3.9
Middle East,2008,Under_five_deaths,4.9
Middle East,2008,Adult_mortality,64.414
Central America and Caribbean,2013,Infant_deaths,14.4
Central America and Caribbean,2013,Under_five_deaths,16.8
Central America and Caribbean,2013,Adult_mortality,187.4335
Rest of Europe,2006,Infant_deaths,8.4
Rest of Europe,2006,Under_five_deaths,9.7
Rest of Europe,2006,Adult_mortality,128.5365
Central America and Caribbean,2007,Infant_deaths,19.2
Central America and Caribbean,2007,Under_five_deaths,22.6
Central America and Caribbean,2007,Adult_mortality,203.491
North America,2012,Infant_deaths,6
North America,2012,Under_five_deaths,7.1
North America,2012,Adult_mortality,104.536
European Union,2006,Infant_deaths,10.3
European Union,2006,Under_five_deaths,12.4
European Union,2006,Adult_mortality,156.0375
South America,2015,Infant_deaths,14.2
South America,2015,Under_five_deaths,15.9
South America,2015,Adult_mortality,144.3625
European Union,2013,Infant_deaths,2.8
European Union,2013,Under_five_deaths,3.5
European Union,2013,Adult_mortality,59.454
South America,2015,Infant_deaths,27.4
South America,2015,Under_five_deaths,33.1
South America,2015,Adult_mortality,209.372
Middle East,2001,Infant_deaths,13.3
Middle East,2001,Under_five_deaths,15.4
Middle East,2001,Adult_mortality,126.257
Central America and Caribbean,2012,Infant_deaths,28.8
Central America and Caribbean,2012,Under_five_deaths,35
Central America and Caribbean,2012,Adult_mortality,165.809
Africa,2006,Infant_deaths,95.7
Africa,2006,Under_five_deaths,156.4
Africa,2006,Adult_mortality,307.785
Asia,2000,Infant_deaths,79.2
Asia,2000,Under_five_deaths,106.3
Asia,2000,Adult_mortality,259.469
Africa,2005,Infant_deaths,54.9
Africa,2005,Under_five_deaths,83
Africa,2005,Adult_mortality,279.54
North America,2001,Infant_deaths,5.3
North America,2001,Under_five_deaths,6.2
North America,2001,Adult_mortality,79.395
Asia,2000,Infant_deaths,3.3
Asia,2000,Under_five_deaths,4.5
Asia,2000,Adult_mortality,72.954
South America,2007,Infant_deaths,19.5
South America,2007,Under_five_deaths,21.8
South America,2007,Adult_mortality,161.982
Middle East,2002,Infant_deaths,16.7
Middle East,2002,Under_five_deaths,19.6
Middle East,2002,Adult_mortality,105.2955
Asia,2011,Infant_deaths,20.6
Asia,2011,Under_five_deaths,24.4
Asia,2011,Adult_mortality,225.0725
Central America and Caribbean,2011,Infant_deaths,28.8
Central America and Caribbean,2011,Under_five_deaths,35
Central America and Caribbean,2011,Adult_mortality,167.619
South America,2014,Infant_deaths,14.6
South America,2014,Under_five_deaths,16.3
South America,2014,Adult_mortality,146.3165
Rest of Europe,2013,Infant_deaths,8.8
Rest of Europe,2013,Under_five_deaths,10.2
Rest of Europe,2013,Adult_mortality,201.674
European Union,2013,Infant_deaths,4.5
European Union,2013,Under_five_deaths,5.2
European Union,2013,Adult_mortality,119.573
Rest of Europe,2009,Infant_deaths,10.6
Rest of Europe,2009,Under_five_deaths,12.3
Rest of Europe,2009,Adult_mortality,230.8795
Central America and Caribbean,2003,Infant_deaths,10
Central America and Caribbean,2003,Under_five_deaths,11.8
Central America and Caribbean,2003,Adult_mortality,96.955
Central America and Caribbean,2000,Infant_deaths,27.4
Central America and Caribbean,2000,Under_five_deaths,33.2
Central America and Caribbean,2000,Adult_mortality,220.1275
Africa,2014,Infant_deaths,77.3
Africa,2014,Under_five_deaths,132.3
Africa,2014,Adult_mortality,365.883
Oceania,2007,Infant_deaths,12
Oceania,2007,Under_five_deaths,14
Oceania,2007,Adult_mortality,147.075
Africa,2010,Infant_deaths,96.2
Africa,2010,Under_five_deaths,157.4
Africa,2010,Adult_mortality,326.1265
Asia,2015,Infant_deaths,8.3
Asia,2015,Under_five_deaths,10.7
Asia,2015,Adult_mortality,82.273
Rest of Europe,2002,Infant_deaths,21.7
Rest of Europe,2002,Under_five_deaths,24.4
Rest of Europe,2002,Adult_mortality,87.182
South America,2007,Infant_deaths,11
South America,2007,Under_five_deaths,12.6
South America,2007,Adult_mortality,115.7035
Rest of Europe,2006,Infant_deaths,10.3
Rest of Europe,2006,Under_five_deaths,12.8
Rest of Europe,2006,Adult_mortality,292.2095
European Union,2010,Infant_deaths,2.8
European Union,2010,Under_five_deaths,3.4
European Union,2010,Adult_mortality,57.4125
Africa,2015,Infant_deaths,34
Africa,2015,Under_five_deaths,46.3
Africa,2015,Adult_mortality,255.781
Central America and Caribbean,2002,Infant_deaths,20.9
Central America and Caribbean,2002,Under_five_deaths,24.8
Central America and Caribbean,2002,Adult_mortality,124.3705
Central America and Caribbean,2001,Infant_deaths,14
Central America and Caribbean,2001,Under_five_deaths,16.4
Central America and Caribbean,2001,Adult_mortality,187.537
Middle East,2007,Infant_deaths,50
Middle East,2007,Under_five_deaths,65.6
Middle East,2007,Adult_mortality,244.445
Central America and Caribbean,2004,Infant_deaths,20
Central America and Caribbean,2004,Under_five_deaths,23.5
Central America and Caribbean,2004,Adult_mortality,124.7005
Africa,2007,Infant_deaths,79.4
Africa,2007,Under_five_deaths,126.6
Africa,2007,Adult_mortality,304
Middle East,2015,Infant_deaths,7.5
Middle East,2015,Under_five_deaths,8.8
Middle East,2015,Adult_mortality,58.1365
European Union,2002,Infant_deaths,3.3
European Union,2002,Under_five_deaths,4.1
European Union,2002,Adult_mortality,97.1345
European Union,2007,Infant_deaths,5.3
European Union,2007,Under_five_deaths,6.2
European Union,2007,Adult_mortality,106.427
Central America and Caribbean,2004,Infant_deaths,15.8
Central America and Caribbean,2004,Under_five_deaths,18.3
Central America and Caribbean,2004,Adult_mortality,163.506
Africa,2001,Infant_deaths,89.3
Africa,2001,Under_five_deaths,174.9
Africa,2001,Adult_mortality,325.735
North America,2009,Infant_deaths,6.4
North America,2009,Under_five_deaths,7.5
North America,2009,Adult_mortality,107.0105
Africa,2010,Infant_deaths,22.1
Africa,2010,Under_five_deaths,26.3
Africa,2010,Adult_mortality,133.3605
European Union,2004,Infant_deaths,6.8
European Union,2004,Under_five_deaths,7.8
European Union,2004,Adult_mortality,142.2675
North America,2015,Infant_deaths,4.7
North America,2015,Under_five_deaths,5.4
North America,2015,Adult_mortality,65.9695
Africa,2005,Infant_deaths,69.5
Africa,2005,Under_five_deaths,108.9
Africa,2005,Adult_mortality,338.17
South America,2010,Infant_deaths,14.7
South America,2010,Under_five_deaths,17.1
South America,2010,Adult_mortality,148.2105
Africa,2014,Infant_deaths,34
Africa,2014,Under_five_deaths,47.9
Africa,2014,Adult_mortality,328.32
Rest of Europe,2010,Infant_deaths,10.1
Rest of Europe,2010,Under_five_deaths,11.7
Rest of Europe,2010,Adult_mortality,213.7115
Africa,2009,Infant_deaths,81.7
Africa,2009,Under_five_deaths,115.3
Africa,2009,Adult_mortality,332.154
Asia,2010,Infant_deaths,22.1
Asia,2010,Under_five_deaths,26.3
Asia,2010,Adult_mortality,230.153
North America,2001,Infant_deaths,7
North America,2001,Under_five_deaths,8.3
North America,2001,Adult_mortality,114.2395
Rest of Europe,2002,Infant_deaths,8.5
Rest of Europe,2002,Under_five_deaths,10.9
Rest of Europe,2002,Adult_mortality,260.3945
Asia,2011,Infant_deaths,47
Asia,2011,Under_five_deaths,61
Asia,2011,Adult_mortality,204.845
Central America and Caribbean,2015,Infant_deaths,14.3
Central America and Caribbean,2015,Under_five_deaths,16.2
Central America and Caribbean,2015,Adult_mortality,141.3
Africa,2002,Infant_deaths,103.8
Africa,2002,Under_five_deaths,171.5
Africa,2002,Adult_mortality,411.5985
Asia,2007,Infant_deaths,16.2
Asia,2007,Under_five_deaths,20.1
Asia,2007,Adult_mortality,99.551
South America,2011,Infant_deaths,14.7
South America,2011,Under_five_deaths,17.2
South America,2011,Adult_mortality,147.169
Central America and Caribbean,2009,Infant_deaths,8.7
Central America and Caribbean,2009,Under_five_deaths,10.6
Central America and Caribbean,2009,Adult_mortality,139.537
Oceania,2008,Infant_deaths,56
Oceania,2008,Under_five_deaths,67.7
Oceania,2008,Adult_mortality,171.0075
Asia,2006,Infant_deaths,74.6
Asia,2006,Under_five_deaths,104.1
Asia,2006,Adult_mortality,271.4905
South America,2009,Infant_deaths,16.2
South America,2009,Under_five_deaths,20.8
South America,2009,Adult_mortality,134.0135
South America,2011,Infant_deaths,30
South America,2011,Under_five_deaths,36.7
South America,2011,Adult_mortality,215.255
Africa,2010,Infant_deaths,42.4
Africa,2010,Under_five_deaths,65.7
Africa,2010,Adult_mortality,211.9
Africa,2011,Infant_deaths,23.1
Africa,2011,Under_five_deaths,27.5
Africa,2011,Adult_mortality,157.823
Africa,2001,Infant_deaths,118.2
Africa,2001,Under_five_deaths,198.4
Africa,2001,Adult_mortality,361.129
European Union,2014,Infant_deaths,3
European Union,2014,Under_five_deaths,3.6
European Union,2014,Adult_mortality,51.776
European Union,2011,Infant_deaths,5.6
European Union,2011,Under_five_deaths,6.8
European Union,2011,Adult_mortality,120.157
Africa,2013,Infant_deaths,22.1
Africa,2013,Under_five_deaths,25.8
Africa,2013,Adult_mortality,98.739
Rest of Europe,2005,Infant_deaths,5.1
Rest of Europe,2005,Under_five_deaths,6
Rest of Europe,2005,Adult_mortality,79.5075
Central America and Caribbean,2003,Infant_deaths,23.5
Central America and Caribbean,2003,Under_five_deaths,28.1
Central America and Caribbean,2003,Adult_mortality,213.592
Africa,2009,Infant_deaths,71.1
Africa,2009,Under_five_deaths,114.3
Africa,2009,Adult_mortality,365.4865
Rest of Europe,2015,Infant_deaths,8.5
Rest of Europe,2015,Under_five_deaths,9.6
Rest of Europe,2015,Adult_mortality,75.205
Africa,2014,Infant_deaths,59.5
Africa,2014,Under_five_deaths,92.4
Africa,2014,Adult_mortality,345.615
Africa,2015,Infant_deaths,72.6
Africa,2015,Under_five_deaths,94.6
Africa,2015,Adult_mortality,513.4755
Africa,2004,Infant_deaths,72.8
Africa,2004,Under_five_deaths,118.6
Africa,2004,Adult_mortality,368.1215
Rest of Europe,2005,Infant_deaths,4.3
Rest of Europe,2005,Under_five_deaths,5.1
Rest of Europe,2005,Adult_mortality,65.1225
Africa,2010,Infant_deaths,72.5
Africa,2010,Under_five_deaths,104.9
Africa,2010,Adult_mortality,382.0835
Asia,2002,Infant_deaths,67.3
Asia,2002,Under_five_deaths,86.7
Asia,2002,Adult_mortality,243.8905
Africa,2006,Infant_deaths,85.3
Africa,2006,Under_five_deaths,121
Africa,2006,Adult_mortality,294.2555
South America,2003,Infant_deaths,24.9
South America,2003,Under_five_deaths,28.2
South America,2003,Adult_mortality,207.3055
Africa,2001,Infant_deaths,44.2
Africa,2001,Under_five_deaths,75.3
Africa,2001,Adult_mortality,470.342
Africa,2013,Infant_deaths,42.4
Africa,2013,Under_five_deaths,62.3
Africa,2013,Adult_mortality,321.4315
Asia,2008,Infant_deaths,40.1
Asia,2008,Under_five_deaths,50.8
Asia,2008,Adult_mortality,186.7545
Middle East,2015,Infant_deaths,7.8
Middle East,2015,Under_five_deaths,9.1
Middle East,2015,Adult_mortality,87.974
Asia,2015,Infant_deaths,34.9
Asia,2015,Under_five_deaths,43.5
Asia,2015,Adult_mortality,177.9465
European Union,2012,Infant_deaths,2.6
European Union,2012,Under_five_deaths,3.2
European Union,2012,Adult_mortality,92.0385
European Union,2002,Infant_deaths,3.3
European Union,2002,Under_five_deaths,4
European Union,2002,Adult_mortality,98.426
Africa,2010,Infant_deaths,68.6
Africa,2010,Under_five_deaths,110.1
Africa,2010,Adult_mortality,362.5215
European Union,2004,Infant_deaths,4.1
European Union,2004,Under_five_deaths,4.8
European Union,2004,Adult_mortality,64.721
Rest of Europe,2009,Infant_deaths,6.3
Rest of Europe,2009,Under_five_deaths,7.4
Rest of Europe,2009,Adult_mortality,118.42
South America,2007,Infant_deaths,18.2
South America,2007,Under_five_deaths,23.4
South America,2007,Adult_mortality,137.505
Africa,2002,Infant_deaths,76.5
Africa,2002,Under_five_deaths,96.1
Africa,2002,Adult_mortality,323.2315
South America,2013,Infant_deaths,14.3
South America,2013,Under_five_deaths,16.6
South America,2013,Adult_mortality,142.829
Asia,2012,Infant_deaths,25.9
Asia,2012,Under_five_deaths,31.2
Asia,2012,Adult_mortality,181.1225
Africa,2004,Infant_deaths,49.4
Africa,2004,Under_five_deaths,77.7
Africa,2004,Adult_mortality,501.4985
European Union,2015,Infant_deaths,4
European Union,2015,Under_five_deaths,4.9
European Union,2015,Adult_mortality,165.233
European Union,2004,Infant_deaths,3.7
European Union,2004,Under_five_deaths,4.6
European Union,2004,Adult_mortality,114.2985
European Union,2008,Infant_deaths,3.5
European Union,2008,Under_five_deaths,4.1
European Union,2008,Adult_mortality,60.1245
Oceania,2011,Infant_deaths,5
Oceania,2011,Under_five_deaths,6
Oceania,2011,Adult_mortality,70.233
Africa,2010,Infant_deaths,84.3
Africa,2010,Under_five_deaths,135.5
Africa,2010,Adult_mortality,376.179
Asia,2010,Infant_deaths,11.7
Asia,2010,Under_five_deaths,13.6
Asia,2010,Adult_mortality,160.1755
European Union,2008,Infant_deaths,9.5
European Union,2008,Under_five_deaths,11.4
European Union,2008,Adult_mortality,148.4445
Africa,2004,Infant_deaths,106.9
Africa,2004,Under_five_deaths,162.5
Africa,2004,Adult_mortality,532.8745
Central America and Caribbean,2001,Infant_deaths,29
Central America and Caribbean,2001,Under_five_deaths,35.3
Central America and Caribbean,2001,Adult_mortality,169.61
Central America and Caribbean,2008,Infant_deaths,61.3
Central America and Caribbean,2008,Under_five_deaths,83.2
Central America and Caribbean,2008,Adult_mortality,271.8455
European Union,2013,Infant_deaths,3.2
European Union,2013,Under_five_deaths,3.9
European Union,2013,Adult_mortality,67.3475
Central America and Caribbean,2000,Infant_deaths,32.4
Central America and Caribbean,2000,Under_five_deaths,40
Central America and Caribbean,2000,Adult_mortality,186.951
Africa,2003,Infant_deaths,74.7
Africa,2003,Under_five_deaths,93.6
Africa,2003,Adult_mortality,317.1835
Africa,2001,Infant_deaths,100
Africa,2001,Under_five_deaths,167.4
Africa,2001,Adult_mortality,432.824
Africa,2013,Infant_deaths,41.8
Africa,2013,Under_five_deaths,59.8
Africa,2013,Adult_mortality,251.5445
European Union,2005,Infant_deaths,6.1
European Union,2005,Under_five_deaths,7
European Union,2005,Adult_mortality,59.577
South America,2003,Infant_deaths,8.1
South America,2003,Under_five_deaths,9.5
South America,2003,Adult_mortality,103.6575
Middle East,2013,Infant_deaths,8.8
Middle East,2013,Under_five_deaths,10.2
Middle East,2013,Adult_mortality,90.265
South America,2014,Infant_deaths,13.8
South America,2014,Under_five_deaths,16
South America,2014,Adult_mortality,141.448
Central America and Caribbean,2007,Infant_deaths,18.7
Central America and Caribbean,2007,Under_five_deaths,21.1
Central America and Caribbean,2007,Adult_mortality,167.402
Africa,2003,Infant_deaths,43.3
Africa,2003,Under_five_deaths,74.4
Africa,2003,Adult_mortality,495.7265
Africa,2003,Infant_deaths,69.9
Africa,2003,Under_five_deaths,109.5
Africa,2003,Adult_mortality,333.358
Middle East,2014,Infant_deaths,45.4
Middle East,2014,Under_five_deaths,58.7
Middle East,2014,Adult_mortality,223.9525
Rest of Europe,2012,Infant_deaths,5.8
Rest of Europe,2012,Under_five_deaths,6.7
Rest of Europe,2012,Adult_mortality,100.353
Central America and Caribbean,2014,Infant_deaths,19
Central America and Caribbean,2014,Under_five_deaths,21.4
Central America and Caribbean,2014,Adult_mortality,138.0705
Asia,2002,Infant_deaths,25.5
Asia,2002,Under_five_deaths,30.7
Asia,2002,Adult_mortality,117.6445
Rest of Europe,2013,Infant_deaths,14
Rest of Europe,2013,Under_five_deaths,15.6
Rest of Europe,2013,Adult_mortality,128.387
Africa,2005,Infant_deaths,65.6
Africa,2005,Under_five_deaths,107.1
Africa,2005,Adult_mortality,441.99
European Union,2009,Infant_deaths,3
European Union,2009,Under_five_deaths,3.5
European Union,2009,Adult_mortality,58.8095
Asia,2002,Infant_deaths,85.3
Asia,2002,Under_five_deaths,121.1
Asia,2002,Adult_mortality,298.8855
Oceania,2008,Infant_deaths,11.8
Oceania,2008,Under_five_deaths,13.7
Oceania,2008,Adult_mortality,145.4525
Africa,2003,Infant_deaths,50.4
Africa,2003,Under_five_deaths,91.6
Africa,2003,Adult_mortality,703
European Union,2000,Infant_deaths,3.7
European Union,2000,Under_five_deaths,4.5
European Union,2000,Adult_mortality,100.072
Central America and Caribbean,2010,Infant_deaths,8.3
Central America and Caribbean,2010,Under_five_deaths,10
Central America and Caribbean,2010,Adult_mortality,137.808
Africa,2004,Infant_deaths,83.3
Africa,2004,Under_five_deaths,159.5
Africa,2004,Adult_mortality,311.4595
Central America and Caribbean,2006,Infant_deaths,16.1
Central America and Caribbean,2006,Under_five_deaths,18.6
Central America and Caribbean,2006,Adult_mortality,154.8585
Oceania,2006,Infant_deaths,24.1
Oceania,2006,Under_five_deaths,28.9
Oceania,2006,Adult_mortality,190.4555
Asia,2015,Infant_deaths,36.4
Asia,2015,Under_five_deaths,42.2
Asia,2015,Adult_mortality,189.928
Middle East,2005,Infant_deaths,8.9
Middle East,2005,Under_five_deaths,10.4
Middle East,2005,Adult_mortality,63.957
Africa,2005,Infant_deaths,95
Africa,2005,Under_five_deaths,155
Africa,2005,Adult_mortality,397.18
Africa,2009,Infant_deaths,40.4
Africa,2009,Under_five_deaths,59.9
Africa,2009,Adult_mortality,302.9805
Africa,2008,Infant_deaths,77.1
Africa,2008,Under_five_deaths,113
Africa,2008,Adult_mortality,569.1065
Asia,2004,Infant_deaths,37.1
Asia,2004,Under_five_deaths,49.6
Asia,2004,Adult_mortality,190.6185
Asia,2002,Infant_deaths,21.7
Asia,2002,Under_five_deaths,27.4
Asia,2002,Adult_mortality,137.514
Middle East,2003,Infant_deaths,9.7
Middle East,2003,Under_five_deaths,11.3
Middle East,2003,Adult_mortality,81.7285
South America,2003,Infant_deaths,26.2
South America,2003,Under_five_deaths,31.6
South America,2003,Adult_mortality,164.433
Central America and Caribbean,2015,Infant_deaths,6.5
Central America and Caribbean,2015,Under_five_deaths,7.8
Central America and Caribbean,2015,Adult_mortality,130.0025
Africa,2000,Infant_deaths,94.7
Africa,2000,Under_five_deaths,154.5
Africa,2000,Adult_mortality,355.0185
Oceania,2006,Infant_deaths,19.9
Oceania,2006,Under_five_deaths,23.4
Oceania,2006,Adult_mortality,207.4675
Africa,2015,Infant_deaths,36.7
Africa,2015,Under_five_deaths,53.3
Africa,2015,Adult_mortality,294.858
Africa,2005,Infant_deaths,83.9
Africa,2005,Under_five_deaths,134.7
Africa,2005,Adult_mortality,318.5825
Africa,2014,Infant_deaths,55.8
Africa,2014,Under_five_deaths,74.7
Africa,2014,Adult_mortality,229.794
Africa,2013,Infant_deaths,37.1
Africa,2013,Under_five_deaths,52
Africa,2013,Adult_mortality,215.093
Central America and Caribbean,2011,Infant_deaths,7.9
Central America and Caribbean,2011,Under_five_deaths,9.5
Central America and Caribbean,2011,Adult_mortality,136.0795
Asia,2007,Infant_deaths,40.6
Asia,2007,Under_five_deaths,47.4
Asia,2007,Adult_mortality,210.7895
Oceania,2008,Infant_deaths,24.1
Oceania,2008,Under_five_deaths,28.8
Oceania,2008,Adult_mortality,150.659
Rest of Europe,2008,Infant_deaths,4.8
Rest of Europe,2008,Under_five_deaths,5.6
Rest of Europe,2008,Adult_mortality,78.4095
Asia,2008,Infant_deaths,29.6
Asia,2008,Under_five_deaths,33.7
Asia,2008,Adult_mortality,213.764
European Union,2013,Infant_deaths,3.1
European Union,2013,Under_five_deaths,3.7
European Union,2013,Adult_mortality,53.267
European Union,2014,Infant_deaths,2.5
European Union,2014,Under_five_deaths,3.1
European Union,2014,Adult_mortality,83.987
Central America and Caribbean,2014,Infant_deaths,15.7
Central America and Caribbean,2014,Under_five_deaths,17.4
Central America and Caribbean,2014,Adult_mortality,155.902
Africa,2001,Infant_deaths,74.4
Africa,2001,Under_five_deaths,121.9
Africa,2001,Adult_mortality,448.1755
Africa,2001,Infant_deaths,42.3
Africa,2001,Under_five_deaths,50.1
Africa,2001,Adult_mortality,146.7395
European Union,2009,Infant_deaths,4
European Union,2009,Under_five_deaths,5
European Union,2009,Adult_mortality,153.3555
Central America and Caribbean,2011,Infant_deaths,15.8
Central America and Caribbean,2011,Under_five_deaths,18.5
Central America and Caribbean,2011,Adult_mortality,192.7545
Rest of Europe,2010,Infant_deaths,14.7
Rest of Europe,2010,Under_five_deaths,17.1
Rest of Europe,2010,Adult_mortality,197.1175
Asia,2015,Infant_deaths,41
Asia,2015,Under_five_deaths,52.2
Asia,2015,Adult_mortality,196.053
Asia,2013,Infant_deaths,32
Asia,2013,Under_five_deaths,39.4
Asia,2013,Adult_mortality,163.2835
Africa,2010,Infant_deaths,47.1
Africa,2010,Under_five_deaths,71.9
Africa,2010,Adult_mortality,316.531
